Datum,Stunde,Strahlung Rieden [kW/m²],Temp. Rieden [°C]
2022-01-10,5,0.0,
2022-01-10,6,0.0,
2022-01-10,7,0.0,
2022-01-10,8,0.0025,
2022-01-10,9,0.05625,
2022-01-10,10,0.12275,
2022-01-10,11,0.131,
2022-01-10,12,0.162,
2022-01-10,13,0.142,
2022-01-10,14,0.12525,
2022-01-10,15,0.08025,
2022-01-10,16,0.02625,
2022-01-10,17,0.0,
2022-01-10,18,0.0,
2022-01-10,19,0.0,
2022-01-10,20,0.0,
2022-01-10,21,0.0,
2022-01-10,22,0.0,
2022-01-10,23,0.0,
2022-01-11,0,0.0,
2022-01-11,1,0.0,
2022-01-11,2,0.0,
2022-01-11,3,0.0,
2022-01-11,4,0.0,
2022-01-11,5,0.0,
2022-01-11,6,0.0,
2022-01-11,7,0.0,
2022-01-11,8,0.012,
2022-01-11,9,0.1305,
2022-01-11,10,0.2675,
2022-01-11,11,0.326,
2022-01-11,12,0.1415,
2022-01-11,13,0.12175,
2022-01-11,14,0.10825,
2022-01-11,15,0.152,
2022-01-11,16,0.064,
2022-01-11,17,0.0,
2022-01-11,18,0.0,
2022-01-11,19,0.0,
2022-01-11,20,0.0,
2022-01-11,21,0.0,
2022-01-11,22,0.0,
2022-01-11,23,0.0,
2022-01-12,0,0.0,
2022-01-12,1,0.0,
2022-01-12,2,0.0,
2022-01-12,3,0.0,
2022-01-12,4,0.0,
2022-01-12,5,0.0,
2022-01-12,6,0.0,
2022-01-12,7,0.0,
2022-01-12,8,0.012499999999999999,
2022-01-12,9,0.08099999999999999,
2022-01-12,10,0.2655,
2022-01-12,11,0.366,
2022-01-12,12,0.42125,
2022-01-12,13,0.4125,
2022-01-12,14,0.33399999999999996,
2022-01-12,15,0.21525,
2022-01-12,16,0.07875,
2022-01-12,17,0.0005,
2022-01-12,18,0.0,
2022-01-12,19,0.0,
2022-01-12,20,0.0,
2022-01-12,21,0.0,
2022-01-12,22,0.0,
2022-01-12,23,0.0,
2022-01-13,0,0.0,
2022-01-13,1,0.0,
2022-01-13,2,0.0,
2022-01-13,3,0.0,
2022-01-13,4,0.0,
2022-01-13,5,0.0,
2022-01-13,6,0.0,
2022-01-13,7,0.0,
2022-01-13,8,0.01375,
2022-01-13,9,0.14725,
2022-01-13,10,0.28225,
2022-01-13,11,0.3825,
2022-01-13,12,0.416,
2022-01-13,13,0.39825,
2022-01-13,14,0.33125,
2022-01-13,15,0.23675,
2022-01-13,16,0.0955,
2022-01-13,17,0.0025,
2022-01-13,18,0.0,
2022-01-13,19,0.0,
2022-01-13,20,0.0,
2022-01-13,21,0.0,
2022-01-13,22,0.0,
2022-01-13,23,0.0,
2022-01-14,0,0.0,
2022-01-14,1,0.0,
2022-01-14,2,0.0,
2022-01-14,3,0.0,
2022-01-14,4,0.0,
2022-01-14,5,0.0,
2022-01-14,6,0.0,
2022-01-14,7,0.0,
2022-01-14,8,0.013000000000000001,
2022-01-14,9,0.13424999999999998,
2022-01-14,10,0.28200000000000003,
2022-01-14,11,0.36,
2022-01-14,12,0.40025,
2022-01-14,13,0.3845,
2022-01-14,14,0.31375,
2022-01-14,15,0.20525,
2022-01-14,16,0.07675,
2022-01-14,17,0.0005,
2022-01-14,18,0.0,
2022-01-14,19,0.0,
2022-01-14,20,0.0,
2022-01-14,21,0.0,
2022-01-14,22,0.0,
2022-01-14,23,0.0,
2022-01-15,0,0.0,
2022-01-15,1,0.0,
2022-01-15,2,0.0,
2022-01-15,3,0.0,
2022-01-15,4,0.0,
2022-01-15,5,0.0,
2022-01-15,6,0.0,
2022-01-15,7,0.0,
2022-01-15,8,0.00625,
2022-01-15,9,0.0615,
2022-01-15,10,0.0885,
2022-01-15,11,0.13225,
2022-01-15,12,0.12075,
2022-01-15,13,0.10250000000000001,
2022-01-15,14,0.09325,
2022-01-15,15,0.057999999999999996,
2022-01-15,16,0.0185,
2022-01-15,17,0.0,
2022-01-15,18,0.0,
2022-01-15,19,0.0,
2022-01-15,20,0.0,
2022-01-15,21,0.0,
2022-01-15,22,0.0,
2022-01-15,23,0.0,
2022-01-16,0,0.0,
2022-01-16,1,0.0,
2022-01-16,2,0.0,
2022-01-16,3,0.0,
2022-01-16,4,0.0,
2022-01-16,5,0.0,
2022-01-16,6,0.0,
2022-01-16,7,0.0,
2022-01-16,8,0.01325,
2022-01-16,9,0.07775,
2022-01-16,10,0.17725,
2022-01-16,11,0.28200000000000003,
2022-01-16,12,0.435,
2022-01-16,13,0.38375,
2022-01-16,14,0.201,
2022-01-16,15,0.14100000000000001,
2022-01-16,16,0.0325,
2022-01-16,17,0.0,
2022-01-16,18,0.0,
2022-01-16,19,0.0,
2022-01-16,20,0.0,
2022-01-16,21,0.0,
2022-01-16,22,0.0,
2022-01-16,23,0.0,
2022-01-17,0,0.0,
2022-01-17,1,0.0,
2022-01-17,2,0.0,
2022-01-17,3,0.0,
2022-01-17,4,0.0,
2022-01-17,5,0.0,
2022-01-17,6,0.0,
2022-01-17,7,0.0,
2022-01-17,8,0.0015,
2022-01-17,9,0.048,
2022-01-17,10,0.139,
2022-01-17,11,0.20500000000000002,
2022-01-17,12,0.218,
2022-01-17,13,0.26275,
2022-01-17,14,0.1925,
2022-01-17,15,0.1175,
2022-01-17,16,0.0745,
2022-01-17,17,0.0,
2022-01-17,18,0.0,
2022-01-17,19,0.0,
2022-01-17,20,0.0,
2022-01-17,21,0.0,
2022-01-17,22,0.0,
2022-01-17,23,0.0,
2022-01-18,0,0.0,
2022-01-18,1,0.0,
2022-01-18,2,0.0,
2022-01-18,3,0.0,
2022-01-18,4,0.0,
2022-01-18,5,0.0,
2022-01-18,6,0.0,
2022-01-18,7,0.0,
2022-01-18,8,0.0135,
2022-01-18,9,0.15025,
2022-01-18,10,0.28725,
2022-01-18,11,0.359,
2022-01-18,12,0.427,
2022-01-18,13,0.36325,
2022-01-18,14,0.2995,
2022-01-18,15,0.2445,
2022-01-18,16,0.0955,
2022-01-18,17,0.00225,
2022-01-18,18,0.0,
2022-01-18,19,0.0,
2022-01-18,20,0.0,
2022-01-18,21,0.0,
2022-01-18,22,0.0,
2022-01-18,23,0.0,
2022-01-19,0,0.0,
2022-01-19,1,0.0,
2022-01-19,2,0.0,
2022-01-19,3,0.0,
2022-01-19,4,0.0,
2022-01-19,5,0.0,
2022-01-19,6,0.0,
2022-01-19,7,0.0,
2022-01-19,8,0.017,
2022-01-19,9,0.1565,
2022-01-19,10,0.29400000000000004,
2022-01-19,11,0.3895,
2022-01-19,12,0.4205,
2022-01-19,13,0.4205,
2022-01-19,14,0.34550000000000003,
2022-01-19,15,0.2235,
2022-01-19,16,0.0905,
2022-01-19,17,0.00275,
2022-01-19,18,0.0,
2022-01-19,19,0.0,
2022-01-19,20,0.0,
2022-01-19,21,0.0,
2022-01-19,22,0.0,
2022-01-19,23,0.0,
2022-01-20,0,0.0,
2022-01-20,1,0.0,
2022-01-20,2,0.0,
2022-01-20,3,0.0,
2022-01-20,4,0.0,
2022-01-20,5,0.0,
2022-01-20,6,0.0,
2022-01-20,7,0.0,
2022-01-20,8,0.0,
2022-01-20,9,0.0095,
2022-01-20,10,0.02725,
2022-01-20,11,0.0395,
2022-01-20,12,0.05875,
2022-01-20,13,0.109,
2022-01-20,14,0.157,
2022-01-20,15,0.1265,
2022-01-20,16,0.022,
2022-01-20,17,0.0,
2022-01-20,18,0.0,
2022-01-20,19,0.0,
2022-01-20,20,0.0,
2022-01-20,21,0.0,
2022-01-20,22,0.0,
2022-01-20,23,0.0,
2022-01-21,0,0.0,
2022-01-21,1,0.0,
2022-01-21,2,0.0,
2022-01-21,3,0.0,
2022-01-21,4,0.0,
2022-01-21,5,0.0,
2022-01-21,6,0.0,
2022-01-21,7,0.0,
2022-01-21,8,0.02425,
2022-01-21,9,0.07125,
2022-01-21,10,0.22075,
2022-01-21,11,0.366,
2022-01-21,12,0.175,
2022-01-21,13,0.16925,
2022-01-21,14,0.2735,
2022-01-21,15,0.30025,
2022-01-21,16,0.11325,
2022-01-21,17,0.005,
2022-01-21,18,0.0,
2022-01-21,19,0.0,
2022-01-21,20,0.0,
2022-01-21,21,0.0,
2022-01-21,22,0.0,
2022-01-21,23,0.0,
2022-01-22,0,0.0,
2022-01-22,1,0.0,
2022-01-22,2,0.0,
2022-01-22,3,0.0,
2022-01-22,4,0.0,
2022-01-22,5,0.0,
2022-01-22,6,0.0,
2022-01-22,7,0.0,
2022-01-22,8,0.0,
2022-01-22,9,0.02,
2022-01-22,10,0.0535,
2022-01-22,11,0.113,
2022-01-22,12,0.1215,
2022-01-22,13,0.11699999999999999,
2022-01-22,14,0.09325,
2022-01-22,15,0.0625,
2022-01-22,16,0.03875,
2022-01-22,17,0.00225,
2022-01-22,18,0.0,
2022-01-22,19,0.0,
2022-01-22,20,0.0,
2022-01-22,21,0.0,
2022-01-22,22,0.0,
2022-01-22,23,0.0,
2022-01-23,0,0.0,
2022-01-23,1,0.0,
2022-01-23,2,0.0,
2022-01-23,3,0.0,
2022-01-23,4,0.0,
2022-01-23,5,0.0,
2022-01-23,6,0.0,
2022-01-23,7,0.0,
2022-01-23,8,0.019,
2022-01-23,9,0.1525,
2022-01-23,10,0.314,
2022-01-23,11,0.43525,
2022-01-23,12,0.484,
2022-01-23,13,0.447,
2022-01-23,14,0.35775,
2022-01-23,15,0.24175,
2022-01-23,16,0.12075,
2022-01-23,17,0.00775,
2022-01-23,18,0.0,
2022-01-23,19,0.0,
2022-01-23,20,0.0,
2022-01-23,21,0.0,
2022-01-23,22,0.0,
2022-01-23,23,0.0,
2022-01-24,0,0.0,
2022-01-24,1,0.0,
2022-01-24,2,0.0,
2022-01-24,3,0.0,
2022-01-24,4,0.0,
2022-01-24,5,0.0,
2022-01-24,6,0.0,
2022-01-24,7,0.0,
2022-01-24,8,0.012750000000000001,
2022-01-24,9,0.056249999999999994,
2022-01-24,10,0.09,
2022-01-24,11,0.1285,
2022-01-24,12,0.17049999999999998,
2022-01-24,13,0.219,
2022-01-24,14,0.12225,
2022-01-24,15,0.0775,
2022-01-24,16,0.035250000000000004,
2022-01-24,17,0.0,
2022-01-24,18,0.0,
2022-01-24,19,0.0,
2022-01-24,20,0.0,
2022-01-24,21,0.0,
2022-01-24,22,0.0,
2022-01-24,23,0.0,
2022-01-25,0,0.0,
2022-01-25,1,0.0,
2022-01-25,2,0.0,
2022-01-25,3,0.0,
2022-01-25,4,0.0,
2022-01-25,5,0.0,
2022-01-25,6,0.0,
2022-01-25,7,0.0,
2022-01-25,8,0.012,
2022-01-25,9,0.0635,
2022-01-25,10,0.10525,
2022-01-25,11,0.16925,
2022-01-25,12,0.375,
2022-01-25,13,0.35725,
2022-01-25,14,0.32,
2022-01-25,15,0.26525,
2022-01-25,16,0.12125,
2022-01-25,17,0.011,
2022-01-25,18,0.0,
2022-01-25,19,0.0,
2022-01-25,20,0.0,
2022-01-25,21,0.0,
2022-01-25,22,0.0,
2022-01-25,23,0.0,
2022-01-26,0,0.0,
2022-01-26,1,0.0,
2022-01-26,2,0.0,
2022-01-26,3,0.0,
2022-01-26,4,0.0,
2022-01-26,5,0.0,
2022-01-26,6,0.0,
2022-01-26,7,0.0,
2022-01-26,8,0.0135,
2022-01-26,9,0.0825,
2022-01-26,10,0.30325,
2022-01-26,11,0.32875,
2022-01-26,12,0.4595,
2022-01-26,13,0.45,
2022-01-26,14,0.27125,
2022-01-26,15,0.1405,
2022-01-26,16,0.0485,
2022-01-26,17,0.004,
2022-01-26,18,0.0,
2022-01-26,19,0.0,
2022-01-26,20,0.0,
2022-01-26,21,0.0,
2022-01-26,22,0.0,
2022-01-26,23,0.0,
2022-01-27,0,0.0,
2022-01-27,1,0.0,
2022-01-27,2,0.0,
2022-01-27,3,0.0,
2022-01-27,4,0.0,
2022-01-27,5,0.0,
2022-01-27,6,0.0,
2022-01-27,7,0.0,
2022-01-27,8,0.02,
2022-01-27,9,0.101,
2022-01-27,10,0.12825,
2022-01-27,11,0.18575,
2022-01-27,12,0.293,
2022-01-27,13,0.3875,
2022-01-27,14,0.376,
2022-01-27,15,0.23425,
2022-01-27,16,0.1215,
2022-01-27,17,0.013,
2022-01-27,18,0.0,
2022-01-27,19,0.0,
2022-01-27,20,0.0,
2022-01-27,21,0.0,
2022-01-27,22,0.0,
2022-01-27,23,0.0,
2022-01-28,0,0.0,
2022-01-28,1,0.0,
2022-01-28,2,0.0,
2022-01-28,3,0.0,
2022-01-28,4,0.0,
2022-01-28,5,0.0,
2022-01-28,6,0.0,
2022-01-28,7,0.0,
2022-01-28,8,0.00625,
2022-01-28,9,0.06175,
2022-01-28,10,0.07375,
2022-01-28,11,0.10675,
2022-01-28,12,0.35125,
2022-01-28,13,0.18925,
2022-01-28,14,0.13,
2022-01-28,15,0.1565,
2022-01-28,16,0.098,
2022-01-28,17,0.01325,
2022-01-28,18,0.0,
2022-01-28,19,0.0,
2022-01-28,20,0.0,
2022-01-28,21,0.0,
2022-01-28,22,0.0,
2022-01-28,23,0.0,
2022-01-29,0,0.0,
2022-01-29,1,0.0,
2022-01-29,2,0.0,
2022-01-29,3,0.0,
2022-01-29,4,0.0,
2022-01-29,5,0.0,
2022-01-29,6,0.0,
2022-01-29,7,0.0,
2022-01-29,8,0.0175,
2022-01-29,9,0.064,
2022-01-29,10,0.08524999999999999,
2022-01-29,11,0.15325,
2022-01-29,12,0.35125,
2022-01-29,13,0.4965,
2022-01-29,14,0.42475,
2022-01-29,15,0.29500000000000004,
2022-01-29,16,0.13,
2022-01-29,17,0.017249999999999998,
2022-01-29,18,0.0,
2022-01-29,19,0.0,
2022-01-29,20,0.0,
2022-01-29,21,0.0,
2022-01-29,22,0.0,
2022-01-29,23,0.0,
2022-01-30,0,0.0,
2022-01-30,1,0.0,
2022-01-30,2,0.0,
2022-01-30,3,0.0,
2022-01-30,4,0.0,
2022-01-30,5,0.0,
2022-01-30,6,0.0,
2022-01-30,7,0.0,
2022-01-30,8,0.00425,
2022-01-30,9,0.0385,
2022-01-30,10,0.04825,
2022-01-30,11,0.0655,
2022-01-30,12,0.138,
2022-01-30,13,0.1725,
2022-01-30,14,0.1585,
2022-01-30,15,0.3175,
2022-01-30,16,0.17149999999999999,
2022-01-30,17,0.01575,
2022-01-30,18,0.0,
2022-01-30,19,0.0,
2022-01-30,20,0.0,
2022-01-30,21,0.0,
2022-01-30,22,0.0,
2022-01-30,23,0.0,
2022-01-31,0,0.0,
2022-01-31,1,0.0,
2022-01-31,2,0.0,
2022-01-31,3,0.0,
2022-01-31,4,0.0,
2022-01-31,5,0.0,
2022-01-31,6,0.0,
2022-01-31,7,0.0,
2022-01-31,8,0.0,
2022-01-31,9,0.006,
2022-01-31,10,0.04975,
2022-01-31,11,0.072,
2022-01-31,12,0.15675,
2022-01-31,13,0.1295,
2022-01-31,14,0.0645,
2022-01-31,15,0.059,
2022-01-31,16,0.027,
2022-01-31,17,0.0,
2022-01-31,18,0.0,
2022-01-31,19,0.0,
2022-01-31,20,0.0,
2022-01-31,21,0.0,
2022-01-31,22,0.0,
2022-01-31,23,0.0,
2022-02-01,0,0.0,
2022-02-01,1,0.0,
2022-02-01,2,0.0,
2022-02-01,3,0.0,
2022-02-01,4,0.0,
2022-02-01,5,0.0,
2022-02-01,6,0.0,
2022-02-01,7,0.0,
2022-02-01,8,0.0025,
2022-02-01,9,0.031,
2022-02-01,10,0.05125,
2022-02-01,11,0.073,
2022-02-01,12,0.10025,
2022-02-01,13,0.10475,
2022-02-01,14,0.09375,
2022-02-01,15,0.0765,
2022-02-01,16,0.02875,
2022-02-01,17,0.0,
2022-02-01,18,0.0,
2022-02-01,19,0.0,
2022-02-01,20,0.0,
2022-02-01,21,0.0,
2022-02-01,22,0.0,
2022-02-01,23,0.0,
2022-02-02,0,0.0,
2022-02-02,1,0.0,
2022-02-02,2,0.0,
2022-02-02,3,0.0,
2022-02-02,4,0.0,
2022-02-02,5,0.0,
2022-02-02,6,0.0,
2022-02-02,7,0.0,
2022-02-02,8,0.0,
2022-02-02,9,0.00475,
2022-02-02,10,0.00775,
2022-02-02,11,0.02675,
2022-02-02,12,0.03025,
2022-02-02,13,0.067,
2022-02-02,14,0.03425,
2022-02-02,15,0.030250000000000003,
2022-02-02,16,0.0025,
2022-02-02,17,0.0,
2022-02-02,18,0.0,
2022-02-02,19,0.0,
2022-02-02,20,0.0,
2022-02-02,21,0.0,
2022-02-02,22,0.0,
2022-02-02,23,0.0,
2022-02-03,0,0.0,
2022-02-03,1,0.0,
2022-02-03,2,0.0,
2022-02-03,3,0.0,
2022-02-03,4,0.0,
2022-02-03,5,0.0,
2022-02-03,6,0.0,
2022-02-03,7,0.0,
2022-02-03,8,0.058499999999999996,
2022-02-03,9,0.14375,
2022-02-03,10,0.3035,
2022-02-03,11,0.33175,
2022-02-03,12,0.35,
2022-02-03,13,0.3135,
2022-02-03,14,0.28200000000000003,
2022-02-03,15,0.15575,
2022-02-03,16,0.0735,
2022-02-03,17,0.01275,
2022-02-03,18,0.0,
2022-02-03,19,0.0,
2022-02-03,20,0.0,
2022-02-03,21,0.0,
2022-02-03,22,0.0,
2022-02-03,23,0.0,
2022-02-04,0,0.0,
2022-02-04,1,0.0,
2022-02-04,2,0.0,
2022-02-04,3,0.0,
2022-02-04,4,0.0,
2022-02-04,5,0.0,
2022-02-04,6,0.0,
2022-02-04,7,0.0,
2022-02-04,8,0.053500000000000006,
2022-02-04,9,0.103,
2022-02-04,10,0.1615,
2022-02-04,11,0.333,
2022-02-04,12,0.4655,
2022-02-04,13,0.46699999999999997,
2022-02-04,14,0.4105,
2022-02-04,15,0.303,
2022-02-04,16,0.1535,
2022-02-04,17,0.0215,
2022-02-04,18,0.0,
2022-02-04,19,0.0,
2022-02-04,20,0.0,
2022-02-04,21,0.0,
2022-02-04,22,0.0,
2022-02-04,23,0.0,
2022-02-05,0,0.0,
2022-02-05,1,0.0,
2022-02-05,2,0.0,
2022-02-05,3,0.0,
2022-02-05,4,0.0,
2022-02-05,5,0.0,
2022-02-05,6,0.0,
2022-02-05,7,0.0,
2022-02-05,8,0.0335,
2022-02-05,9,0.14350000000000002,
2022-02-05,10,0.34625,
2022-02-05,11,0.47375,
2022-02-05,12,0.522,
2022-02-05,13,0.52125,
2022-02-05,14,0.45375,
2022-02-05,15,0.3335,
2022-02-05,16,0.18075,
2022-02-05,17,0.03375,
2022-02-05,18,0.0,
2022-02-05,19,0.0,
2022-02-05,20,0.0,
2022-02-05,21,0.0,
2022-02-05,22,0.0,
2022-02-05,23,0.0,
2022-02-06,0,0.0,
2022-02-06,1,0.0,
2022-02-06,2,0.0,
2022-02-06,3,0.0,
2022-02-06,4,0.0,
2022-02-06,5,0.0,
2022-02-06,6,0.0,
2022-02-06,7,0.0,
2022-02-06,8,0.03,
2022-02-06,9,0.19724999999999998,
2022-02-06,10,0.40125,
2022-02-06,11,0.4445,
2022-02-06,12,0.24975,
2022-02-06,13,0.14225,
2022-02-06,14,0.09375,
2022-02-06,15,0.06075,
2022-02-06,16,0.03075,
2022-02-06,17,0.0,
2022-02-06,18,0.0,
2022-02-06,19,0.0,
2022-02-06,20,0.0,
2022-02-06,21,0.0,
2022-02-06,22,0.0,
2022-02-06,23,0.0,
2022-02-07,0,0.0,
2022-02-07,1,0.0,
2022-02-07,2,0.0,
2022-02-07,3,0.0,
2022-02-07,4,0.0,
2022-02-07,5,0.0,
2022-02-07,6,0.0,
2022-02-07,7,0.0,
2022-02-07,8,0.014249999999999999,
2022-02-07,9,0.06775,
2022-02-07,10,0.08524999999999999,
2022-02-07,11,0.0875,
2022-02-07,12,0.11775,
2022-02-07,13,0.13474999999999998,
2022-02-07,14,0.15575,
2022-02-07,15,0.07050000000000001,
2022-02-07,16,0.067,
2022-02-07,17,0.023,
2022-02-07,18,0.0,
2022-02-07,19,0.0,
2022-02-07,20,0.0,
2022-02-07,21,0.0,
2022-02-07,22,0.0,
2022-02-07,23,0.0,
2022-02-08,0,0.0,
2022-02-08,1,0.0,
2022-02-08,2,0.0,
2022-02-08,3,0.0,
2022-02-08,4,0.0,
2022-02-08,5,0.0,
2022-02-08,6,0.0,
2022-02-08,7,0.0,
2022-02-08,8,0.0415,
2022-02-08,9,0.13824999999999998,
2022-02-08,10,0.251,
2022-02-08,11,0.38475,
2022-02-08,12,0.319,
2022-02-08,13,0.323,
2022-02-08,14,0.42725,
2022-02-08,15,0.34850000000000003,
2022-02-08,16,0.19,
2022-02-08,17,0.0405,
2022-02-08,18,0.0,
2022-02-08,19,0.0,
2022-02-08,20,0.0,
2022-02-08,21,0.0,
2022-02-08,22,0.0,
2022-02-08,23,0.0,
2022-02-09,0,0.0,
2022-02-09,1,0.0,
2022-02-09,2,0.0,
2022-02-09,3,0.0,
2022-02-09,4,0.0,
2022-02-09,5,0.0,
2022-02-09,6,0.0,
2022-02-09,7,0.0,
2022-02-09,8,0.0695,
2022-02-09,9,0.24425000000000002,
2022-02-09,10,0.39849999999999997,
2022-02-09,11,0.48275,
2022-02-09,12,0.51825,
2022-02-09,13,0.53125,
2022-02-09,14,0.46275,
2022-02-09,15,0.35575,
2022-02-09,16,0.20075,
2022-02-09,17,0.0445,
2022-02-09,18,0.0,
2022-02-09,19,0.0,
2022-02-09,20,0.0,
2022-02-09,21,0.0,
2022-02-09,22,0.0,
2022-02-09,23,0.0,
